model,term,estimate,std.error,statistic,p.value
baseline,(Intercept),0.05737204914472455,0.009058706108270496,6.333360245824127,2.590395081386328e-10
baseline,days_ahead,6.006961561883169e-4,7.909087228364405e-5,7.595012405907433,3.598422452084458e-14
baseline,I(days_ahead^2),3.6441237866269763e-7,1.45140033356408e-7,2.510764054792803,0.01207565317669926
year_fixed_effects,(Intercept),0.19828338731634484,0.021167184665753562,9.367489840873738,1.0610017144753295e-20
year_fixed_effects,days_ahead,6.446699605439848e-4,7.976949276465983e-5,8.081660522098645,7.800307636307664e-16
year_fixed_effects,I(days_ahead^2),1.4449328008112967e-7,1.4458760804609535e-7,0.999347606850681,0.31767059265120423
year_fixed_effects,factor(year)2023,-0.08207413271179095,0.019105424841520592,-4.295854888995953,1.7704125482403075e-5
year_fixed_effects,factor(year)2024,-0.1840780602006703,0.01930462296268957,-9.535439286042605,2.1877289888725382e-21
year_fixed_effects,factor(year)2025,-0.10923358709320329,0.02079385064797049,-5.253167820740535,1.551740638033185e-7
meeting_fixed_effects,(Intercept),0.1737043358547135,0.014039277930209256,12.372740016845327,1.069001547062263e-34
meeting_fixed_effects,days_ahead,5.817381648839313e-4,7.596671471440594e-5,7.65780338232283,2.2238139701902413e-14
meeting_fixed_effects,I(days_ahead^2),4.009181240443835e-7,1.3945554523997893e-7,2.8748811913823333,0.004057447784977593
meeting_fixed_effects,factor(meeting_date)2024-03-19,-0.02477185709906952,0.01599666418097205,-1.5485639267551492,0.12154463549678474
meeting_fixed_effects,factor(meeting_date)2024-05-07,-0.023718870896530107,0.016320819841283814,-1.4532891807636272,0.14620104506135612
meeting_fixed_effects,factor(meeting_date)2024-06-18,-0.04220729965008735,0.016098961792173416,-2.62174046966225,0.008772515900478395
meeting_fixed_effects,factor(meeting_date)2024-08-06,-0.058491081061825524,0.016133389191205636,-3.625467678775716,2.910719788922236e-4
meeting_fixed_effects,factor(meeting_date)2024-09-24,-0.11359622646029449,0.015999275767120024,-7.100085535980643,1.4063237302716927e-12
meeting_fixed_effects,factor(meeting_date)2024-11-05,-0.14876346690936507,0.016193051795545844,-9.186870318681054,5.631192405121168e-20
meeting_fixed_effects,factor(meeting_date)2024-12-10,-0.13134555274271936,0.016193074123500305,-8.111217903467956,6.138802082947004e-16
meeting_fixed_effects,factor(meeting_date)2025-02-18,-0.19478937318940326,0.016032703373327628,-12.149502716644736,1.5609516529793562e-33
meeting_fixed_effects,factor(meeting_date)2025-04-01,-0.176951398253557,0.016193150805923852,-10.92754587259348,1.6392591353362707e-27
meeting_fixed_effects,factor(meeting_date)2025-05-20,-0.18274574147390463,0.016076294243885486,-11.367404620838585,1.3066374044684945e-29
meeting_fixed_effects,factor(meeting_date)2025-07-08,-0.19140355224987995,0.016205156354713923,-11.811274637544766,8.314207081267537e-32
meeting_fixed_effects,factor(meeting_date)2025-08-12,-0.1599326189406969,0.016193070856872906,-9.876608356395593,8.165339117840638e-23
meeting_fixed_effects,factor(meeting_date)2025-09-30,-0.15088081705448644,0.016318150140744087,-9.246196152942522,3.266561111216848e-20
meeting_fixed_effects,factor(meeting_date)2025-11-04,-0.12089728379711659,0.01620531551523619,-7.460347420168977,9.987467687786609e-14
meeting_fixed_effects,factor(meeting_date)2025-12-09,-0.11792260700709421,0.01614596376341962,-7.303534724527272,3.206519437983331e-13
